Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1977-10-11,7.577153321818811,7.600980462286098,7.505671024322511,7.50567102432251,23614,0.0,0.0
1977-10-12,7.458017340880364,7.458017340880364,7.362707007990514,7.434189319610596,24096,0.0,0.0
1977-10-13,7.4103604356480455,7.4103604356480455,7.31505012512207,7.31505012512207,31084,0.0,0.0
1977-10-14,7.315051970774713,7.3627071380615225,7.219742074248407,7.362707138061523,45542,0.0,0.0
1977-10-17,7.315047758062052,7.315047758062052,7.195910346503196,7.291220188140869,26988,0.0,0.0
1977-10-18,7.291218821740378,7.338873952652003,7.148253867052483,7.243564128875732,9639,0.0,0.0
1977-10-19,7.243567514329414,7.291222229466626,7.1959123611450195,7.1959123611450195,25783,0.0,0.0
1977-10-20,7.195910969007646,7.243566112972569,7.076773109095341,7.148255825042725,19759,0.0,0.0
1977-10-21,7.1482568011578165,7.1482568011578165,7.0767740754492605,7.124429225921631,14699,0.0,0.0
1977-10-24,7.076778118026531,7.076778118026531,6.957640611836006,6.981468200683594,24578,0.0,0.0
1977-10-25,6.9576345096216725,6.9576345096216725,6.790841972021873,6.862324237823486,34699,0.0,0.0
1977-10-26,6.862326401873557,7.052946567535401,6.790844113529842,7.0529465675354,34699,0.0,0.0
1977-10-27,7.052946567535401,7.172084444853531,7.029119430118938,7.0529465675354,34217,0.0,0.0
1977-10-28,7.0529455944802235,7.1244283110090345,7.029118460351057,7.076773166656494,9157,0.0,0.0
1977-10-31,7.076774709686706,7.124429864430045,6.957637260875557,7.0052924156188965,22410,0.0,0.0
1977-11-01,7.005291208119442,7.005291208119442,6.79084348678589,6.790843486785889,15181,0.0,0.0
1977-11-02,6.790846889462702,6.838502059870227,6.695536548647651,6.743191719055176,24337,0.0,0.0
1977-11-03,6.74318834025685,6.79084348678589,6.695533193727811,6.790843486785889,28193,0.0,0.0
1977-11-04,6.838499934095322,6.909982229438711,6.838499934095322,6.886154651641846,19518,0.0,0.0
1977-11-07,6.886151805773033,6.90997937372258,6.862324237823486,6.862324237823486,11566,0.0,0.0
1977-11-08,6.862326575467331,6.909981727600098,6.838499437448122,6.909981727600098,21446,0.0,0.0
1977-11-09,6.933806755811502,7.10059928894043,6.933806755811502,7.10059928894043,21928,0.0,0.0
1977-11-10,7.100600681077802,7.195910969007646,7.100600681077802,7.148255825042725,54458,0.0,0.0
1977-11-11,7.172085097380311,7.3627052803850574,7.172085097380311,7.31505012512207,25783,0.0,0.0
1977-11-14,7.31504638719619,7.362701518107816,7.243564128875732,7.243564128875732,34699,0.0,0.0
1977-11-15,7.243570731426801,7.2673978805542,7.124432795552912,7.267397880554199,37590,0.0,0.0
1977-11-16,7.29122204907496,7.338877201080322,7.29122204907496,7.338877201080322,19277,0.0,0.0
1977-11-17,7.338877702753564,7.386532419969348,7.243567830274792,7.31505012512207,15181,0.0,0.0
1977-11-18,7.315049625077641,7.362704777083003,7.2673944730722795,7.338877201080322,14940,0.0,0.0
1977-11-21,7.362702812826222,7.41035795211792,7.362702812826222,7.41035795211792,15422,0.0,0.0
1977-11-22,7.4103625864441485,7.553327217633,7.386534563849566,7.481844902038574,14940,0.0,0.0
1977-11-23,7.48184454769484,7.529499714532373,7.386534214019775,7.386534214019775,24096,0.0,0.0
1977-11-25,7.386529944425014,7.458013091409618,7.386529944425014,7.41035795211792,10843,0.0,0.0
1977-11-28,7.410358037746787,7.410358037746787,7.291220188140868,7.291220188140869,104819,0.0,0.0
1977-11-29,7.291218821740378,7.291218821740378,7.21973656341992,7.243564128875732,15422,0.0,0.0
1977-11-30,7.243565486345563,7.291220188140868,7.243565486345563,7.291220188140869,19518,0.0,0.0
1977-12-01,7.291220188140868,7.291220188140868,7.21973791642438,7.291220188140869,38072,0.0,0.0
1977-12-02,7.291224387131308,7.3627071380615225,7.291224387131308,7.362707138061523,15904,0.0,0.0
1977-12-05,7.362707068648319,7.434189380857308,7.362707068648319,7.386534214019775,20482,0.0,0.0
1977-12-06,7.3865319150385105,7.3865319150385105,7.315049625077641,7.338877201080322,56145,0.0,0.0
1977-12-07,7.338875327983236,7.362702897904419,7.267392618219685,7.291220188140869,22651,0.0,0.0
1977-12-08,7.291225467728977,7.338880642078533,7.219743144252023,7.267397880554199,52289,0.0,0.0
1977-12-09,7.267392618219685,7.315047758062052,7.243565486345563,7.291220188140869,24819,0.0,0.0
1977-12-12,7.243567830274792,7.3627052803850574,7.243567830274792,7.31505012512207,20000,0.0,0.0
1977-12-13,7.315049625077641,7.338877201080322,7.29122204907496,7.338877201080322,10120,0.0,0.0
1977-12-14,7.338879485229553,7.410362235485851,7.3150519018107865,7.386534214019775,20964,0.0,0.0
1977-12-15,7.386534214019775,7.410362235485851,7.362707068648319,7.386534214019775,25060,0.0,0.0
1977-12-16,7.386534214019775,7.386534214019775,7.3150519018107865,7.386534214019775,37590,0.0,0.0
1977-12-19,7.3865319150385105,7.3865319150385105,7.29122204907496,7.338877201080322,49398,0.0,0.0
1977-12-20,7.338877702753564,7.338877702753564,7.267394969859082,7.31505012512207,23133,0.0,0.0
1977-12-21,7.315049625077641,7.362704777083003,7.2673944730722795,7.338877201080322,24337,0.0,0.0
1977-12-22,7.338879554418118,7.4103623053483325,7.338879554418118,7.362707138061523,19518,0.0,0.0
1977-12-23,7.3865341531656705,7.434189319610596,7.3865341531656705,7.434189319610596,39518,0.0,0.0
1977-12-27,7.434189380857308,7.434189380857308,7.386534214019775,7.386534214019775,23614,0.0,0.0
1977-12-28,7.3865319150385105,7.434187067043873,7.315049625077641,7.338877201080322,38072,0.0,0.0
1977-12-29,7.338879554418118,7.386534283657614,7.291224387131308,7.362707138061523,37590,0.0,0.0
1977-12-30,7.362707068648319,7.410362235485851,7.338879485229553,7.386534214019775,48675,0.0,0.0
1978-01-03,7.386529944425014,7.41035795211792,7.338875243180373,7.41035795211792,13494,0.0,0.0
1978-01-04,7.386532419969348,7.386532419969348,7.31505012512207,7.31505012512207,9639,0.0,0.0
1978-01-05,7.338879554418118,7.386534283657614,7.338879554418118,7.362707138061523,18795,0.0,0.0
1978-01-06,7.362708229253311,7.386535378380709,7.2673978805542,7.267397880554199,24337,0.0,0.0
1978-01-09,7.243566171890384,7.243566171890384,7.076773166656494,7.076773166656494,32771,0.0,0.0
